Actual Arrival Time,Flight Id,Destination,Pax,Origin
2024-01-01 00:02:00,ACA1029,169,306,Security
2024-01-01 00:15:00,ACA0780,180,214,Security
2024-01-01 00:19:00,ACA1205,165,197,Security
2024-01-01 00:50:00,ACA0967,176,0,Security
2024-01-01 00:53:00,ACA0742,178,183,Security
2024-01-01 01:10:00,ROU1755,168,214,Security
2024-01-01 01:23:00,ROU1813,179,132,Security
2024-01-01 01:47:00,ACA1298,177,99,Security
2024-01-01 05:04:00,ACA0043,174,397,Security
2024-01-01 05:07:00,ACA0091,175,367,Security
2024-01-01 06:46:00,ACA0057,177,516,Security
2024-01-01 06:56:00,ACA1280,165,294,Security
2024-01-01 07:00:00,MSR0995,173,397,Security
2024-01-01 07:12:00,ACA0992,172,169,Security
2024-01-01 07:13:00,AIC0187,171,423,Security
2024-01-01 07:41:00,JZA0541,164B,40,Security
2024-01-01 07:50:00,JZA0873,160,69,Security
2024-01-01 08:18:00,ACA0765,161,57,Security
2024-01-01 08:23:00,JZA0781,166A,24,Security
2024-01-01 08:28:00,ACA0794,169,349,Security
2024-01-01 08:43:00,JZA0983,162,70,Security
2024-01-01 09:10:00,UAE0241,173,644,Security
2024-01-01 09:39:00,UAL3522,168,99,Security
2024-01-01 09:56:00,UAL5450,160,93,Security
2024-01-01 09:58:00,JZA0716,164B,56,Security
2024-01-01 10:08:00,JZA0985,166B,62,Security
2024-01-01 10:41:00,JZA0553,166A,81,Security
2024-01-01 10:58:00,ACA0807,165,295,Security
2024-01-01 11:01:00,ROU1643,178,171,Security
2024-01-01 11:07:00,ACA0588,175,310,Security
2024-01-01 11:24:00,JZA0681,168,71,Security
2024-01-01 11:32:00,JZA0543,160,82,Security
2024-01-01 11:35:00,JZA0746,164A,67,Security
2024-01-01 11:39:00,ACA1030,163,122,Security
2024-01-01 12:32:00,ACA0841,180,389,Security
2024-01-01 12:53:00,JZA0877,164A,101,Security
2024-01-01 13:15:00,ACA0887,170,377,Security
2024-01-01 13:22:00,UAL3400,166A,81,Security
2024-01-01 13:26:00,ACA1038,165,86,Security
2024-01-01 13:26:00,JZA0987,166B,81,Security
2024-01-01 13:46:00,LRC0626,172,196,Security
2024-01-01 13:50:00,JZA0875,162,44,Security
2024-01-01 13:51:00,ACA0809,169,332,Security
2024-01-01 14:00:00,ACA1087,161,372,Security
2024-01-01 14:09:00,ACA0811,175,386,Security
2024-01-01 14:18:00,JZA0989,164A,99,Security
2024-01-01 14:22:00,ACA0855,171,394,Security
2024-01-01 14:30:00,ACA1023,177,372,Security
2024-01-01 14:33:00,UAL6179,164B,101,Security
2024-01-01 14:38:00,UAL3523,160,95,Security
2024-01-01 14:40:00,ACA0956,173,314,Security
2024-01-01 14:50:00,ACA1201,165,304,Security
2024-01-01 14:51:00,ACA0825,176,384,Security
2024-01-01 14:56:00,ACA0837,179,384,Security
2024-01-01 15:22:00,ACA0873,178,388,Security
2024-01-01 15:25:00,JZA0879,166A,94,Security
2024-01-01 15:35:00,ROU1665,181,212,Security
2024-01-01 15:47:00,ROU1811,180,254,Security
2024-01-01 16:07:00,UAL3476,162,89,Security
2024-01-01 16:13:00,ACA0881,172,382,Security
2024-01-01 16:17:00,ACA0891,177,389,Security
2024-01-01 16:20:00,DLH0470,174,375,Security
2024-01-01 16:54:00,JZA0993,160,101,Security
2024-01-01 17:32:00,ACA0002,178,488,Security
2024-01-01 17:32:00,UAL3566,162,85,Security
2024-01-01 17:39:00,ACA0596,181,180,Security
2024-01-01 17:43:00,ACA0857,176,516,Security
2024-01-01 18:10:00,THY0017,174,466,Security
2024-01-01 18:22:00,JZA0881,164A,94,Security
2024-01-01 18:26:00,ACA1288,161,312,Security
2024-01-01 18:30:00,UAL5462,164B,98,Security
2024-01-01 18:31:00,ACA0931,172,504,Security
2024-01-01 18:33:00,ACA0935,169,357,Security
2024-01-01 18:49:00,JZA0545,162,101,Security
2024-01-01 19:00:00,ACA0983,178,337,Security
2024-01-01 19:05:00,ACA0990,181,188,Security
2024-01-01 19:06:00,ACA0062,175,385,Security
2024-01-01 19:13:00,ACA1237,166,175,Security
2024-01-01 19:23:00,UAL3504,164A,93,Security
2024-01-01 19:29:00,ACA0788,180,316,Security
2024-01-01 19:50:00,LOT0045,176,287,Security
2024-01-01 19:55:00,ACA0843,165,396,Security
2024-01-01 19:57:00,ACA0936,168,220,Security
2024-01-01 20:05:00,UAL6169,160,87,Security
2024-01-01 20:25:00,ACA0740,166,164,Security
2024-01-01 20:46:00,ACA0859,179,520,Security
2024-01-01 20:51:00,JZA0883,160,97,Security
2024-01-01 20:53:00,EVA0036,171,400,Security
2024-01-01 20:58:00,ACA0967,178,357,Security
2024-01-01 21:00:00,JZA0997,162,73,Security
2024-01-01 21:03:00,TAP0261,177,210,Security
2024-01-01 21:14:00,AVA0204,181,224,Security
2024-01-01 21:24:00,ROU1833,163,228,Security
2024-01-01 21:25:00,ACA1320,168,210,Security
2024-01-01 21:56:00,ROU1827,161,229,Security
2024-01-01 22:03:00,ACA1339,166,195,Security
2024-01-01 22:12:00,ACA1337,180,200,Security
2024-01-01 22:41:00,ROU1879,174,155,Security
2024-01-01 23:17:00,ACA0792,172,224,Security
2024-01-01 23:36:00,UAL6098,162,86,Security
2024-01-01 23:45:00,ACA1091,165,307,Security
2024-01-01 23:48:00,ROU1661,180,216,Security
2024-01-01 23:56:00,UAL3593,160,98,Security
2024-01-02 00:05:00,ACA1205,169,320,Security
2024-01-02 00:10:00,CMP0470,181,210,Security
2024-01-02 00:18:00,ROU1700,173,258,Security
2024-01-02 00:45:00,JZA0999,166B,0,Security
2024-01-02 02:08:00,ROU1813,177,257,Security
2024-01-02 02:51:00,ACA1029,161,345,Security
2024-01-02 02:52:00,ACA1032,168,0,Security
2024-01-02 05:33:00,ACA0091,178,386,Security
2024-01-02 05:39:00,ACA0043,175,397,Security
2024-01-02 06:52:00,MSR0995,173,400,Security
2024-01-02 06:53:00,ACA0794,171,377,Security
2024-01-02 07:02:00,ACA1280,179,367,Security
2024-01-02 07:08:00,ACA0992,170,204,Security
2024-01-02 07:11:00,ACA0057,161,520,Security
2024-01-02 07:17:00,ACA0746,166,177,Security
2024-01-02 07:24:00,JZA0873,162,75,Security
2024-01-02 07:44:00,JZA0541,164A,48,Security
2024-01-02 07:55:00,JZA0929,160,69,Security
2024-01-02 08:40:00,ETH0552,171,425,Security
2024-01-02 08:51:00,JZA0983,162,54,Security
2024-01-02 09:19:00,UAE0241,173,640,Security
2024-01-02 09:55:00,JZA0716,160,83,Security
2024-01-02 10:40:00,ACA0801,178,382,Security
2024-01-02 10:44:00,JZA0875,162,78,Security
2024-01-02 10:44:00,ROU1663,163,208,Security
2024-01-02 10:54:00,JZA0783,168,83,Security
2024-01-02 11:21:00,ROU1643,161,159,Security
2024-01-02 11:26:00,JZA0746,166A,81,Security
2024-01-02 11:28:00,JZA0543,164A,90,Security
2024-01-02 11:58:00,JZA0553,166B,77,Security
2024-01-02 12:25:00,JZA0877,160,94,Security
2024-01-02 12:31:00,ACA0502,163,147,Security
2024-01-02 12:47:00,ACA0841,174,378,Security
2024-01-02 12:51:00,JZA0987,162,85,Security
2024-01-02 13:28:00,UAL3543,160,95,Security
2024-01-02 13:31:00,UAL3400,166A,93,Security
2024-01-02 13:37:00,ACA0809,169,328,Security
2024-01-02 13:44:00,LRC0626,181,230,Security
2024-01-02 13:50:00,JZA0989,164A,87,Security
2024-01-02 14:04:00,AIC0187,171,427,Security
2024-01-02 14:12:00,ACA0855,180,393,Security
2024-01-02 14:14:00,UAL6179,166B,97,Security
2024-01-02 14:20:00,ACA0873,161,388,Security
2024-01-02 14:27:00,ACA1023,165,393,Security
2024-01-02 14:32:00,ACA1087,170,384,Security
2024-01-02 14:32:00,TAP0257,176,175,Security
2024-01-02 14:32:00,UAL3523,164B,94,Security
2024-01-02 14:35:00,ACA1201,178,333,Security
2024-01-02 14:42:00,ACA0956,175,314,Security
2024-01-02 14:57:00,ACA0837,179,360,Security
2024-01-02 15:02:00,ACA1358,173,177,Security
2024-01-02 15:28:00,JZA0879,160,99,Security
2024-01-02 15:37:00,JZA0991,164B,101,Security
2024-01-02 15:39:00,DLH0470,177,388,Security
2024-01-02 15:39:00,ROU1811,172,253,Security
2024-01-02 15:43:00,ACA0881,178,361,Security
2024-01-02 15:50:00,ACA0941,168,241,Security
2024-01-02 16:12:00,ACA0829,179,355,Security
2024-01-02 16:27:00,UAL3556,166B,89,Security
2024-01-02 16:31:00,ACA0891,174,389,Security
2024-01-02 17:16:00,JZA0993,164B,93,Security
2024-01-02 17:22:00,UAL3566,164A,99,Security
2024-01-02 17:28:00,JZA0555,162,95,Security
2024-01-02 17:35:00,ACA1323,181,199,Security
2024-01-02 17:39:00,ACA0093,175,373,Security
2024-01-02 17:55:00,JZA0881,166B,94,Security
2024-01-02 18:02:00,ACA0857,172,525,Security
2024-01-02 18:26:00,ACA1288,169,298,Security
2024-01-02 18:29:00,ACA0983,179,339,Security
2024-01-02 18:34:00,DAT0741,168,183,Security
2024-01-02 18:42:00,ACA0935,161,396,Security
2024-01-02 18:46:00,UAL5462,162,93,Security
2024-01-02 18:51:00,ACA0931,177,390,Security
2024-01-02 19:09:00,UAL6169,164A,86,Security
2024-01-02 19:11:00,ACA0990,181,192,Security
2024-01-02 19:12:00,ACA0843,178,394,Security
2024-01-02 19:29:00,JZA0722,160,98,Security
2024-01-02 19:35:00,ACA0062,179,390,Security
2024-01-02 19:48:00,THY0017,173,462,Security
2024-01-02 20:00:00,UAL3504,164A,93,Security
2024-01-02 20:08:00,ACA0965,168,224,Security
2024-01-02 20:13:00,JZA0995,160,81,Security
2024-01-02 20:24:00,ROU1647,172,180,Security
2024-01-02 20:25:00,LOT0045,175,331,Security
2024-01-02 20:43:00,ACA0859,176,488,Security
2024-01-02 20:57:00,ROU1627,181,259,Security
2024-01-02 21:09:00,JZA0883,162,101,Security
2024-01-02 21:15:00,ROU1879,168,167,Security
2024-01-02 21:20:00,ACA0788,161,323,Security
2024-01-02 21:21:00,ACA0967,169,360,Security
2024-01-02 21:25:00,EVA0036,171,414,Security
2024-01-02 21:29:00,ACA1320,165,210,Security
2024-01-02 21:30:00,AVA0204,180,217,Security
2024-01-02 21:31:00,ACA0002,177,479,Security
2024-01-02 21:35:00,ROU1771,168,249,Security
2024-01-02 21:39:00,JZA0997,164B,79,Security
2024-01-02 21:43:00,ACA1339,167,206,Security
