DepTimeDateTime,FlightCount,Subdir
2020-01-01 00:00,56,2020-1
2020-01-01 01:00,22,2020-1
2020-01-01 02:00,5,2020-1
2020-01-01 03:00,10,2020-1
2020-01-01 04:00,41,2020-1
2020-01-01 05:00,553,2020-1
2020-01-01 06:00,1046,2020-1
2020-01-01 07:00,984,2020-1
2020-01-01 08:00,1097,2020-1
2020-01-01 09:00,1053,2020-1
2020-01-01 10:00,1093,2020-1
2020-01-01 11:00,1158,2020-1
2020-01-01 12:00,1120,2020-1
2020-01-01 13:00,1062,2020-1
2020-01-01 14:00,1075,2020-1
2020-01-01 15:00,1068,2020-1
2020-01-01 16:00,1082,2020-1
2020-01-01 17:00,1136,2020-1
2020-01-01 18:00,1028,2020-1
2020-01-01 19:00,983,2020-1
2020-01-01 20:00,927,2020-1
2020-01-01 21:00,665,2020-1
2020-01-01 22:00,523,2020-1
2020-01-01 23:00,216,2020-1
2020-01-02 00:00,90,2020-1
2020-01-02 01:00,38,2020-1
2020-01-02 02:00,6,2020-1
2020-01-02 03:00,9,2020-1
2020-01-02 04:00,83,2020-1
2020-01-02 05:00,929,2020-1
2020-01-02 06:00,1339,2020-1
2020-01-02 07:00,1233,2020-1
2020-01-02 08:00,1220,2020-1
2020-01-02 09:00,1165,2020-1
2020-01-02 10:00,1198,2020-1
2020-01-02 11:00,1235,2020-1
2020-01-02 12:00,1203,2020-1
2020-01-02 13:00,1134,2020-1
2020-01-02 14:00,1161,2020-1
2020-01-02 15:00,1154,2020-1
2020-01-02 16:00,1199,2020-1
2020-01-02 17:00,1276,2020-1
2020-01-02 18:00,1137,2020-1
2020-01-02 19:00,1054,2020-1
2020-01-02 20:00,1066,2020-1
2020-01-02 21:00,686,2020-1
2020-01-02 22:00,688,2020-1
2020-01-02 23:00,222,2020-1
2020-01-03 00:00,92,2020-1
2020-01-03 01:00,35,2020-1
2020-01-03 02:00,9,2020-1
2020-01-03 03:00,11,2020-1
2020-01-03 04:00,93,2020-1
2020-01-03 05:00,927,2020-1
2020-01-03 06:00,1356,2020-1
2020-01-03 07:00,1231,2020-1
2020-01-03 08:00,1193,2020-1
2020-01-03 09:00,1138,2020-1
2020-01-03 10:00,1137,2020-1
2020-01-03 11:00,1207,2020-1
2020-01-03 12:00,1185,2020-1
2020-01-03 13:00,1139,2020-1
2020-01-03 14:00,1164,2020-1
2020-01-03 15:00,1155,2020-1
2020-01-03 16:00,1208,2020-1
2020-01-03 17:00,1260,2020-1
2020-01-03 18:00,1192,2020-1
2020-01-03 19:00,1057,2020-1
2020-01-03 20:00,1082,2020-1
2020-01-03 21:00,725,2020-1
2020-01-03 22:00,683,2020-1
2020-01-03 23:00,248,2020-1
2020-01-04 00:00,98,2020-1
2020-01-04 01:00,51,2020-1
2020-01-04 02:00,11,2020-1
2020-01-04 03:00,8,2020-1
2020-01-04 04:00,74,2020-1
2020-01-04 05:00,708,2020-1
2020-01-04 06:00,1202,2020-1
2020-01-04 07:00,1138,2020-1
2020-01-04 08:00,1127,2020-1
2020-01-04 09:00,1055,2020-1
2020-01-04 10:00,1037,2020-1
2020-01-04 11:00,1083,2020-1
2020-01-04 12:00,1047,2020-1
2020-01-04 13:00,967,2020-1
2020-01-04 14:00,1051,2020-1
2020-01-04 15:00,1042,2020-1
2020-01-04 16:00,1092,2020-1
2020-01-04 17:00,1073,2020-1
2020-01-04 18:00,1036,2020-1
2020-01-04 19:00,893,2020-1
2020-01-04 20:00,906,2020-1
2020-01-04 21:00,580,2020-1
2020-01-04 22:00,516,2020-1
2020-01-04 23:00,249,2020-1
2020-01-05 00:00,94,2020-1
2020-01-05 01:00,39,2020-1
2020-01-05 02:00,14,2020-1
2020-01-05 03:00,9,2020-1
2020-01-05 04:00,76,2020-1
2020-01-05 05:00,740,2020-1
2020-01-05 06:00,1341,2020-1
2020-01-05 07:00,1220,2020-1
2020-01-05 08:00,1222,2020-1
2020-01-05 09:00,1104,2020-1
2020-01-05 10:00,1182,2020-1
2020-01-05 11:00,1238,2020-1
2020-01-05 12:00,1222,2020-1
2020-01-05 13:00,1083,2020-1
2020-01-05 14:00,1187,2020-1
2020-01-05 15:00,1183,2020-1
2020-01-05 16:00,1178,2020-1
2020-01-05 17:00,1288,2020-1
2020-01-05 18:00,1223,2020-1
2020-01-05 19:00,1118,2020-1
2020-01-05 20:00,1063,2020-1
2020-01-05 21:00,777,2020-1
2020-01-05 22:00,732,2020-1
2020-01-05 23:00,225,2020-1
2020-01-06 00:00,66,2020-1
2020-01-06 01:00,33,2020-1
2020-01-06 02:00,13,2020-1
2020-01-06 03:00,7,2020-1
2020-01-06 04:00,85,2020-1
2020-01-06 05:00,848,2020-1
2020-01-06 06:00,1362,2020-1
2020-01-06 07:00,1278,2020-1
2020-01-06 08:00,1240,2020-1
2020-01-06 09:00,1215,2020-1
2020-01-06 10:00,1187,2020-1
2020-01-06 11:00,1270,2020-1
2020-01-06 12:00,1326,2020-1
2020-01-06 13:00,1146,2020-1
2020-01-06 14:00,1200,2020-1
