origin_label,dest_label,path_distance,path_node_ids
gate_171,gate_172,260.0149097567003,54|13|14|11|5|4|3|2|90|89|91
gate_171,gate_173,249.76519232480322,54|13|14|11|5|4|3|2|1|0
gate_171,gate_174,285.34539999283135,54|13|14|11|5|4|8|58|76|75|74
gate_171,gate_175,291.0951113815653,54|13|14|11|5|4|8|58|76|73|72
gate_171,gate_176,313.8299037936338,54|13|14|11|5|6|57|51|50|52|55
gate_171,gate_177,336.159317881683,54|13|14|11|5|6|57|51|50|49|56
gate_171,gate_178,362.80584379973425,54|13|14|11|5|6|57|77|80|70|69|68|71|88
gate_171,gate_179,383.07489376724374,54|13|14|11|5|6|57|77|80|70|69|68|67|66|87
gate_171,gate_180,509.81206872481584,54|13|14|11|5|6|57|77|80|81|85|64|63|62|65|82
gate_171,gate_181,492.1069236164885,54|13|14|11|5|6|57|77|80|81|85|64|63|62|61|60|83
gate_171,gate_170,95.80846156836787,54|13|14|15|16|53
gate_171,gate_168,335.385722556684,54|13|14|11|5|6|7|47|46
gate_171,gate_169,329.0962223454099,54|13|14|11|5|6|7|48
gate_171,gate_166A,377.95288599871094,54|13|14|11|5|6|7|47|45|43|39|38
gate_171,gate_166B,378.1698046466461,54|13|14|11|5|6|7|47|45|43|39|41|40
gate_171,gate_167,371.64330237933785,54|13|14|11|5|6|7|47|45|43|39|41|37|36
gate_171,gate_165,452.14120239979144,54|13|14|11|5|6|7|47|45|43|39|41|37|35|33|31|30
gate_171,gate_164A,467.32633629172017,54|13|14|11|5|6|7|47|45|43|39|41|37|35|33|31|29|28
gate_171,gate_164B,468.26483195395434,54|13|14|11|5|6|7|47|45|43|39|41|37|35|33|31|29|27|26
gate_171,gate_163,480.589231401149,54|13|14|11|5|6|7|47|45|43|39|41|37|35|33|31|29|27|23|22
gate_171,gate_162,499.4723102213845,54|13|14|11|5|6|7|47|45|43|39|41|37|35|33|31|29|27|23|24|25
gate_171,gate_161,517.189541655754,54|13|14|11|5|6|7|47|45|43|39|41|37|35|33|31|29|27|23|24|18|17
gate_171,gate_160,540.6641258523359,54|13|14|11|5|6|7|47|45|43|39|41|37|35|33|31|29|27|23|24|18|19|20
gate_171,gate_FE2097,402.3554318686081,54|13|14|11|5|6|7|47|45|43|39|41|37|35|33|32
gate_171,gate_FE2095,393.4357232349326,54|13|14|11|5|6|7|47|45|43|39|41|37|35|34
gate_171,gate_FF2025,316.57069041711065,54|13|14|11|5|6|7|47|45|43|42
gate_171,gate_FF2031,310.3857145700779,54|13|14|11|5|6|7|47|45|44
gate_171,gate_FG2057,412.1410967070301,54|13|14|11|5|6|57|77|80|81|85|64|86
