gate_name,x,y,z
171,-4572.039351432905,1830.021735521836,0.0
172,-4562.944512692427,1803.677641340792,0.0
173,-4549.418886557996,1770.41297399829,0.0
174,-4485.942854241726,1733.595328346535,0.0
175,-4423.989176142273,1711.995086337899,0.0
176,-4368.004599818766,1717.680588255711,0.0
177,-4314.027321192436,1736.13299460957,0.0
178,-4265.411430360336,1757.181997067116,0.0
179,-4228.46610338717,1803.504534933878,0.0
180,-4236.850100924796,1826.951245282914,0.0
181,-4272.657345350387,1859.775166525546,0.0
170,-4536.261571927638,1863.013852351327,0.0
168,-4335.879242728852,1896.578079717138,0.0
169,-4487.835975372642,1886.09470660632,0.0
166A,-4356.7423856622,1960.455946473537,0.0
166B,-4359.352911946743,1963.303341685364,0.0
167,-4449.993196034561,1965.921314293229,0.0
165,-4460.088614361093,2035.830520880574,0.0
164A,-4351.870474820826,2045.55372364426,0.0
164B,-4353.381848749803,2048.020879366193,0.0
163,-4461.602374642818,2062.576074601054,0.0
162,-4356.210037753462,2082.296700233924,0.0
161,-4445.815315873405,2114.596391435764,0.0
160,-4355.231556857652,2122.793777811328,0.0
FE2097,-4386.583459789022,2015.082306151351,0.0
FE2095,-4391.626699264465,2011.178484862686,0.0
FF2025,-4387.786043176371,1929.903341528094,0.0
FF2031,-4390.890480526691,1926.80106693925,0.0
FG2057,-4338.512838145735,1835.749562769392,0.0
FG2043,-4346.592847277646,1793.080441413892,0.0
FG2037,-4481.603837282383,1834.090877038472,0.0
FG2085,-4474.139852042841,1796.796967583636,0.0
FG2041,-4341.642933377914,1798.026907728751,0.0
FG2035,-4484.259120515076,1831.623721316539,0.0
FG2089,-4471.645021439464,1792.136600360788,0.0
FG2055,-4341.702494435595,1832.220909486358,0.0
JT1,-4490.680580099247,1782.608254265499,0.0
JT2,-4509.060276403071,1839.039595564881,0.0
JT3,-4323.552764966796,1780.120326410908,0.0
JT4,-4385.466593052234,1902.33625312484,0.0
JT5,-4459.665206688698,2027.256688941366,0.0
